Name,AvgCyclomaticModified,AvgCyclomatic,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
AddDelegateMethodsOperation.java,2,2,2,1,13,1,12,0,6,6,10,6,0,0,0,6,203,33,116,59,58,55,85,102,60,42,9,9,10,0.47,14,14,17,6
AddFolderToBuildpathAction.java,5,5,6,4,28,3,25,0,8,8,1,8,0,2,1,5,308,44,247,94,151,18,152,199,94,105,13,13,17,0.07,47,47,55,33
AddGetterSetterAction.java,2,2,3,1,13,0,12,0,63,55,21,63,3,26,6,28,1142,133,883,299,548,136,525,705,305,400,11,11,12,0.15,182,181,199,108
AddGetterSetterOperation.java,2,3,3,1,12,0,11,0,14,14,14,14,0,5,0,9,381,40,222,94,122,121,141,184,97,87,18,18,18,0.55,43,41,45,18
AddImportCorrectionProposal.java,1,1,1,1,3,0,3,0,4,4,2,4,0,1,1,2,58,15,30,18,7,13,19,24,17,7,1,1,1,0.43,4,4,4,4
AddImportOnSelectionAction.java,2,2,2,1,9,0,8,0,18,17,3,18,1,6,1,10,267,49,192,84,97,26,112,152,86,66,9,9,10,0.14,38,38,41,30
AddImportsOperation.java,4,5,6,3,21,1,19,0,15,15,8,15,1,8,0,6,482,56,355,128,206,79,216,287,130,157,33,33,45,0.22,76,71,94,53
AddJavaDocStubAction.java,3,3,4,2,12,0,11,0,10,10,1,10,0,4,0,6,246,29,154,59,82,65,83,114,56,58,9,9,12,0.42,33,33,41,25
AddJavaDocStubOperation.java,2,2,2,1,13,1,11,0,8,8,1,8,0,5,0,3,188,33,134,70,71,26,93,111,71,40,8,6,8,0.19,18,16,18,8
AddLibraryToBuildpathAction.java,3,3,3,1,28,3,25,0,7,7,0,7,0,1,1,5,191,31,140,56,81,20,91,114,56,58,7,7,7,0.14,23,23,23,12
AddSelectedLibraryToBuildpathAction.java,3,3,3,2,15,1,14,0,8,8,1,8,0,2,1,5,185,29,139,60,75,17,87,111,60,51,7,7,7,0.12,24,24,24,17
AddSourceFolderWizard.java,1,1,1,1,7,0,6,0,9,8,8,9,0,1,0,8,127,19,83,36,36,25,42,56,26,30,3,3,3,0.3,13,13,13,11
AddSourceFolderWizardPage.java,4,4,4,1,20,2,17,0,30,29,26,30,0,10,3,17,782,121,620,205,390,44,383,505,213,292,27,27,31,0.07,123,123,138,56
